,speed,deg,gust,Time
0,0.36,185,0.64,2021-11-17 15:00:00
1,1.3,195,0.85,2021-11-17 18:00:00
2,2.5,230,1.57,2021-11-17 21:00:00
3,3.03,242,2.4,2021-11-18 00:00:00
4,1.63,244,1.83,2021-11-18 03:00:00
5,0.62,223,1.13,2021-11-18 06:00:00
6,1.65,256,2.21,2021-11-18 09:00:00
7,0.17,170,0.8,2021-11-18 12:00:00
8,0.6,233,1.03,2021-11-18 15:00:00
9,1.59,214,1.05,2021-11-18 18:00:00
10,2.31,228,1.48,2021-11-18 21:00:00
11,2.56,241,2.11,2021-11-19 00:00:00
12,1.19,223,1.61,2021-11-19 03:00:00
13,0.93,232,1.24,2021-11-19 06:00:00
14,0.38,241,0.77,2021-11-19 09:00:00
15,0.52,219,0.81,2021-11-19 12:00:00
16,0.35,229,0.79,2021-11-19 15:00:00
17,1.07,179,0.9,2021-11-19 18:00:00
18,1.65,234,1.05,2021-11-19 21:00:00
19,2.23,239,1.98,2021-11-20 00:00:00
20,0.96,229,1.35,2021-11-20 03:00:00
21,0.65,170,0.95,2021-11-20 06:00:00
22,0.64,110,0.72,2021-11-20 09:00:00
23,0.36,109,0.52,2021-11-20 12:00:00
24,0.17,74,0.4,2021-11-20 15:00:00
25,1.23,214,0.96,2021-11-20 18:00:00
26,2.15,223,1.24,2021-11-20 21:00:00
27,2.34,229,1.28,2021-11-21 00:00:00
28,1.35,265,2.22,2021-11-21 03:00:00
29,0.78,11,0.9,2021-11-21 06:00:00
30,1.07,1,1.33,2021-11-21 09:00:00
31,2.09,14,2.16,2021-11-21 12:00:00
32,2.45,19,2.5,2021-11-21 15:00:00
33,1.17,23,2.1,2021-11-21 18:00:00
34,0.67,146,1.86,2021-11-21 21:00:00
35,0.88,298,1.8,2021-11-22 00:00:00
36,3.01,19,3.43,2021-11-22 03:00:00
37,2.77,12,3.19,2021-11-22 06:00:00
38,2.67,18,2.75,2021-11-22 09:00:00
39,2.54,4,2.74,2021-11-22 12:00:00
